date,z_mean_abs,z_std,z_max_abs,z_nan_count,delta_edgeattr0,delta_negedgeattr
2023-01-06,0.9383205771446228,1.0006465911865234,1.6339200735092163,0.0,0.0007758087594993412,0.001346027827821672
2023-01-13,0.9401755332946777,1.0006465911865234,1.6279395818710327,0.0,0.0008179698488675058,0.001140299253165722
2023-01-20,0.9416022896766663,1.0006465911865234,1.6242672204971313,0.0,0.0008522574207745492,0.0011933802161365747
2023-01-27,0.9414031505584717,1.0006465911865234,1.621364712715149,0.0,0.0009747707517817616,0.0012196354800835252
2023-02-03,0.942115068435669,1.0006465911865234,1.6195968389511108,0.0,0.001081156311556697,0.001342266914434731
2023-02-10,0.9410508275032043,1.0006465911865234,1.6216331720352173,0.0,0.0014858994400128722,0.002402887912467122
2023-02-17,0.9399435520172119,1.0006465911865234,1.6275650262832642,0.0,0.0013190351892262697,0.0022580083459615707
2023-02-24,0.9401783347129822,1.0006465911865234,1.6289993524551392,0.0,0.001331978477537632,0.002232292899861932
2023-03-03,0.9386282563209534,1.0006465911865234,1.6356549263000488,0.0,0.001195519114844501,0.002270218450576067
2023-03-10,0.9393723011016846,1.0006465911865234,1.634563684463501,0.0,0.0013158696237951517,0.0026864088140428066
2023-03-17,0.9380943775177002,1.0006465911865234,1.6334056854248047,0.0,0.0013224614085629582,0.0027193513233214617
2023-03-24,0.938244104385376,1.0006465911865234,1.630719780921936,0.0,0.0013281123246997595,0.0025931329000741243
2023-03-31,0.9397438168525696,1.0006465911865234,1.6236586570739746,0.0,0.0014137821272015572,0.0026829049456864595
2023-04-07,0.9402174949645996,1.0006465911865234,1.6226863861083984,0.0,0.0011902924161404371,0.0020760030020028353
2023-04-14,0.9413545727729797,1.0006465911865234,1.6190494298934937,0.0,0.0012312594335526228,0.0022257305681705475
2023-04-21,0.9415550827980042,1.0006465911865234,1.6187289953231812,0.0,0.0010861107148230076,0.0017182279843837023
2023-04-28,0.9407103657722473,1.0006465911865234,1.6197861433029175,0.0,0.0010624832939356565,0.0016719093546271324
2023-05-05,0.9392952919006348,1.000646710395813,1.619349479675293,0.0,0.0009494912228547037,0.0016832370311021805
2023-05-12,0.9392997622489929,1.000646710395813,1.6178650856018066,0.0,0.0007589816814288497,0.0013123442186042666
2023-05-19,0.938751220703125,1.000646710395813,1.6179629564285278,0.0,0.0007165632559917867,0.0013468835968524218
2023-05-26,0.9393651485443115,1.000646710395813,1.6133872270584106,0.0,0.0008407597197219729,0.0017497993540018797
2023-06-02,0.9393486380577087,1.0006465911865234,1.6135320663452148,0.0,0.001561289536766708,0.0032205136958509684
2023-06-09,0.9398646354675293,1.0006465911865234,1.6110690832138062,0.0,0.0016231732442975044,0.0032318399753421545
2023-06-16,0.9401583075523376,1.0006465911865234,1.6092036962509155,0.0,0.001796764088794589,0.0034221976529806852
2023-06-23,0.9404404163360596,1.0006465911865234,1.6082159280776978,0.0,0.0013954364694654942,0.0027616028673946857
2023-06-30,0.9398234486579895,1.000646710395813,1.610635757446289,0.0,0.0008076375816017389,0.0016130893491208553
2023-07-07,0.939721405506134,1.000646710395813,1.6118488311767578,0.0,0.000743060780223459,0.0014603936579078436
2023-07-14,0.9389817118644714,1.000646710395813,1.6142902374267578,0.0,0.0008037544321268797,0.0016322017181664705
2023-07-21,0.9391038417816162,1.000646710395813,1.614060401916504,0.0,0.0006212890148162842,0.0011967633618041873
