Fecha,Año,Activo,Retorno_raw,Retorno_%,Decision,Mu_esperado,Sigma_incertidumbre,UCB_score
2016-01-01,2016,EVRG,-0.0075454110974616,-0.75%,❌ mala,0.0,3.99996657971969,7.99993315943938
2016-01-08,2016,OKE,-0.0481558756120266,-4.82%,❌ mala,-0.0070712494350822,1.0341273918212004,2.0611835342073186
2016-01-15,2016,NEE,0.0127305093061498,1.27%,✅ buena,-0.0254111754385985,0.7294094337741408,1.433407692109683
2016-01-22,2016,TRGP,0.1427288499200607,14.27%,✅ buena,-0.0177456026550326,0.6422514949753464,1.26675738729566
2016-01-29,2016,TRGP,0.0151314461280114,1.51%,✅ buena,0.0298266821608093,0.5572335926568351,1.1442938674744796
2016-02-05,2016,ED,-0.0091215157349856,-0.91%,❌ mala,0.0177077971190237,0.5173729473220731,1.05245369176317
2016-02-12,2016,XEL,0.0131376868589367,1.31%,✅ buena,0.0116087694377492,0.4662067830680602,0.9440223355738696
2016-02-19,2016,OKE,0.113746105008917,11.37%,✅ buena,0.0211530831709115,0.4317651091999533,0.8846833015708183
2016-02-26,2016,DUK,0.0153989486418566,1.54%,✅ buena,0.0188876240819333,0.4280519658504141,0.8749915557827616
2016-03-04,2016,CTRA,0.0228224673684127,2.28%,✅ buena,0.0353803704307244,0.3865641347078943,0.8085086398465131
2016-03-11,2016,CMS,0.0078068431719835,0.78%,✅ buena,0.0186203960134008,0.3770728376134391,0.7727660712402791
2016-03-18,2016,TRGP,-0.056470582057568,-5.65%,❌ mala,0.0289555429177122,0.3972284477476188,0.8234124384129499
2016-03-25,2016,CTRA,0.0245790199491167,2.46%,✅ buena,0.0195691634477971,0.3554842530021849,0.730537669452167
2016-04-01,2016,ED,-0.0123392473934214,-1.23%,❌ mala,0.0108447698193351,0.355032777536786,0.7209103248929072
2016-04-08,2016,CTRA,-0.0191655223212845,-1.92%,❌ mala,0.0244634842019848,0.3325579444326744,0.6895793730673336
2016-04-15,2016,CTRA,0.0099869567380519,1.00%,✅ buena,0.0210148285567131,0.3288972417784864,0.6788093121136861
2016-04-22,2016,CTRA,0.0060191385246317,0.60%,✅ buena,0.302453612027102,0.3031768655853704,0.9088073431978428
2016-04-29,2016,OKE,0.1001383438742284,10.01%,✅ buena,0.4817854694644253,0.2764720984624688,1.034729666389363
2016-05-06,2016,TRGP,0.0244998940606568,2.45%,✅ buena,0.4555276627468978,0.2682114284568214,0.9919505196605406
2016-05-13,2016,WMB,0.1447028677204449,14.47%,✅ buena,0.6082755731325192,0.2481197719440525,1.1045151170206244
2016-05-20,2016,TRGP,-0.0312925778263295,-3.13%,❌ mala,0.6239981408572335,0.2555734081053335,1.1351449570679004
2016-05-27,2016,TRGP,0.0234082379000315,2.34%,✅ buena,0.7246717227508874,0.2538570441952095,1.2323858111413064
2016-06-03,2016,TRGP,-0.069075960776559,-6.91%,❌ mala,0.7609703098460534,0.2304308009032246,1.2218319116525027
2016-06-10,2016,TRGP,0.0191645014306127,1.92%,✅ buena,0.7555218907206691,0.2229679175160673,1.201457725752804
2016-06-17,2016,TRGP,-0.0094019233842963,-0.94%,❌ mala,0.7717193839989521,0.2187672825395368,1.209253949078026
2016-06-24,2016,TRGP,0.0382089454204839,3.82%,✅ buena,0.7766337319037127,0.2165100903667217,1.209653912637156
2016-07-01,2016,WMB,0.0209147593132201,2.09%,✅ buena,0.742520759677037,0.2103769483534102,1.1632746563838576
2016-07-08,2016,TRGP,-0.0033072042872445,-0.33%,❌ mala,0.7199129185685114,0.2030504050843994,1.1260137287373102
2016-07-15,2016,WMB,0.046075521101998,4.61%,✅ buena,0.686202061160452,0.1964843974119572,1.0791708559843665
2016-07-22,2016,TRGP,-0.0529422157926784,-5.29%,❌ mala,0.6500404990439633,0.1857785933120906,1.0215976856681446
2016-07-29,2016,TRGP,0.1084275525203193,10.84%,✅ buena,0.5965383941460346,0.1849767441609384,0.9664918824679116
2016-08-05,2016,TRGP,0.0276027654735033,2.76%,✅ buena,0.5607993064671744,0.1833312924026262,0.9274618912724268
2016-08-12,2016,TRGP,0.0348723101172463,3.49%,✅ buena,0.5080547356948947,0.1866568196353067,0.8813683749655082
2016-08-19,2016,FCX,-0.0902255202138372,-9.02%,❌ mala,0.5291431478112898,0.1877293024291456,0.9046017526695812
2016-08-26,2016,AMD,-0.0208604753351475,-2.09%,❌ mala,0.459667328265154,0.194839669824728,0.8493466679146102
2016-09-02,2016,DHR,-0.0513608731271783,-5.14%,❌ mala,0.4359370301490954,0.196565608477079,0.8290682471032536
2016-09-09,2016,DHR,-0.0058425474790415,-0.58%,❌ mala,0.4641019984379473,0.1820883392100735,0.8282786768580944
2016-09-16,2016,AMD,0.0826446254936841,8.26%,✅ buena,0.4464951906217677,0.1808596265055385,0.8082144436328447
2016-09-23,2016,AMD,0.0549617780449036,5.50%,✅ buena,0.4537690403416343,0.1784361284766512,0.8106412972949368
2016-09-30,2016,DHR,-0.0017860730411864,-0.18%,❌ mala,0.4613324737202458,0.1691774982001705,0.7996874701205869
2016-10-07,2016,DHR,-0.0267093449105895,-2.67%,❌ mala,0.3857412134652624,0.1788206804589669,0.7433825743831963
2016-10-14,2016,DHR,0.0526523066707937,5.27%,✅ buena,0.3276483399949579,0.1649179790679589,0.6574842981308757
2016-10-21,2016,DHR,-0.0246977295897766,-2.47%,❌ mala,0.2211508973025675,0.1745203392370027,0.570191575776573
2016-10-28,2016,DHR,-0.015986685516261,-1.60%,❌ mala,0.1806771344184172,0.1672772365223041,0.5152316074630257
