date,mom4_mean,vol24_mean,mom4_min,mom4_max,vol24_min,vol24_max
2023-01-06,-0.03480504649875271,0.32594975224105677,-0.36785384419919753,0.07598311431039018,0.15743400682952202,0.6475853205286257
2023-01-13,0.016871701151159404,0.32864273900933755,-0.36855629359631115,0.18636519976104715,0.15091236846884626,0.6589059165395378
2023-01-20,0.06441712264902448,0.3279136289762891,-0.18524925110251178,0.3481966880495855,0.16108092182794345,0.6593906207839216
2023-01-27,0.05764560705659557,0.32726818227304116,-0.08392473020744096,0.39941624020536537,0.16355342824416347,0.6552339193599689
2023-02-03,0.08215051957111794,0.3279902281661976,-0.08625340307426932,0.4442279059566572,0.155061153138976,0.7945800833892839
2023-02-10,0.05466787756990902,0.3312243655978669,-0.11990222998103339,0.6803467170524327,0.15451076417529505,0.8041345953246294
2023-02-17,0.021180490790406487,0.32948428583373274,-0.11417822731136229,0.6085784063329458,0.15220136603391543,0.8068969441407401
2023-02-24,0.02626061679176306,0.3242075856394732,-0.1656098960964032,0.5613101515322891,0.1516553338159634,0.8087291068747434
2023-03-03,-0.019659171294103196,0.32490351223393116,-0.24818380543217455,0.14343228411182452,0.15427654573616037,0.7922956881261216
2023-03-10,0.0027685206155707,0.3181155346362163,-0.15639994617624275,0.15545997184320326,0.1536845934761126,0.791851604733707
2023-03-17,-0.03316645683184336,0.3125165961821933,-0.19961418949916154,0.12048654556501304,0.13861184209655833,0.8001438632923026
2023-03-24,-0.029941069420806998,0.31523550678982476,-0.18338164075807317,0.20298168485154355,0.14001569950439777,0.8028638767442571
2023-03-31,0.014705505038799993,0.31140791244180105,-0.11367338741268196,0.20904983643119257,0.1401816986080395,0.7748722871597397
2023-04-07,0.03168122922697896,0.3111717305720585,-0.10367786653377775,0.16290168247285752,0.14695785170260264,0.7758507908744623
2023-04-14,0.07025574918476764,0.30879727478258007,-0.07858673804657679,0.23842835422523434,0.14644865300371843,0.7907748411047668
2023-04-21,0.0782731080716746,0.2941313093621832,-0.025371569794216065,0.21881046060336273,0.12535663854106666,0.7842149231320938
2023-04-28,0.051941253526792686,0.28735729907462626,-0.13302873454066944,0.1999042876142456,0.1217048288784287,0.7885204520533129
2023-05-05,0.015407333638835457,0.27070088867304437,-0.2079919394526326,0.15269907629343638,0.11216712716670643,0.7845629543231639
2023-05-12,0.013383738327326202,0.26960452203837765,-0.18999416213135834,0.16161151735338786,0.11207345507587954,0.7767674397224945
2023-05-19,0.0010550671250265282,0.26918482338708105,-0.13659144308124815,0.1623300367514391,0.1065116172532073,0.7768530570083598
2023-05-26,0.02003225286710388,0.2679268458480378,-0.10652034779415198,0.1645954101933751,0.0989880440513112,0.7781721162407088
