date,prev_date,frob,frob_norm,prev_frob,curr_frob
2023-02-10,2023-02-03,0.19410707482901302,0.007004271227055536,27.712672530330465,27.71267296586402
2025-02-28,2025-02-21,0.18827089235054306,0.006793674930663676,27.712673077830654,27.712673368476672
2025-03-14,2025-03-07,0.18437088164044824,0.006652944674659132,27.712673208106597,27.712673460047622
2023-04-21,2023-04-14,0.18052665758458425,0.006514227621564542,27.712672640877123,27.712672437355554
2023-03-24,2023-03-17,0.17272822966268872,0.006232824585806718,27.712673007999662,27.71267343055937
2023-01-20,2023-01-13,0.16154652536292063,0.005829337598509308,27.7126727750724,27.712672819740103
2025-05-23,2025-05-16,0.1590222344691958,0.005738249608223371,27.712672910097616,27.712672303726983
2025-05-30,2025-05-23,0.15537315805389118,0.005606574362480012,27.712672303726983,27.712672511529433
2024-11-22,2024-11-15,0.150052126849174,0.005414566983205187,27.712673481480188,27.712673649856544
2023-02-03,2023-01-27,0.1490863318957585,0.005379716789001681,27.71267294229056,27.71267253033046
