date,prev_date,asset_idx,l2,cos
2023-01-13,2023-01-06,0,0.01509929271194452,7.1247174913136035e-06
2023-01-13,2023-01-06,1,0.01994058413015803,1.2425966025797486e-05
2023-01-13,2023-01-06,2,0.011324800094910912,4.007887301038515e-06
2023-01-13,2023-01-06,3,0.004032262014619835,5.081031656528623e-07
2023-01-13,2023-01-06,4,0.013430763410772102,5.637101212374596e-06
2023-01-13,2023-01-06,5,0.015787149321463884,7.788644277750834e-06
2023-01-13,2023-01-06,6,0.03142829608801708,3.086712100186517e-05
2023-01-13,2023-01-06,7,0.015635047780243293,7.639287982308396e-06
2023-01-13,2023-01-06,8,0.018566275037365014,1.0772188094976265e-05
2023-01-13,2023-01-06,9,0.004708140370641799,6.927128834988139e-07
2023-01-13,2023-01-06,10,0.0062397276360238495,1.2167060892132042e-06
2023-01-13,2023-01-06,11,0.005717546667245517,1.0215834518323419e-06
2023-01-13,2023-01-06,12,0.026288595812973065,2.1596788635336317e-05
2023-01-13,2023-01-06,13,0.011077044973649091,3.834442563688256e-06
2023-01-13,2023-01-06,14,0.01180189037897675,4.352687912101416e-06
2023-01-13,2023-01-06,15,0.015258923979466314,7.276159625924095e-06
2023-01-13,2023-01-06,16,0.011067764772582069,3.828020303742186e-06
2023-01-13,2023-01-06,17,0.015944669084435745,7.944844503282589e-06
2023-01-13,2023-01-06,18,0.006428670714053858,1.2915070175534282e-06
2023-01-13,2023-01-06,19,0.021382432609552197,1.4287909310017888e-05
2023-01-13,2023-01-06,20,0.017026673038978302,9.05970417175439e-06
2023-01-13,2023-01-06,21,0.011346643823288356,4.02336298643835e-06
2023-01-13,2023-01-06,22,0.009457143948715463,2.7949522807269034e-06
2023-01-13,2023-01-06,23,0.00814232655934402,2.071817333582082e-06
2023-01-13,2023-01-06,24,0.008767925633836184,2.4024156635160665e-06
2023-01-13,2023-01-06,25,0.01480601325916082,6.850632616295371e-06
2023-01-13,2023-01-06,26,0.010498915144282814,3.444636036409321e-06
2023-01-13,2023-01-06,27,0.009599143719775334,2.879515322185e-06
2023-01-13,2023-01-06,28,0.03908850342281648,4.774770868887224e-05
2023-01-13,2023-01-06,29,0.008738003734488478,2.386046340618897e-06
2023-01-13,2023-01-06,30,0.01408735860796175,6.201739781275251e-06
2023-01-13,2023-01-06,31,0.009834756717361122,3.0226066550786967e-06
2023-01-13,2023-01-06,32,0.018716374118888723,1.094706834714465e-05
2023-01-13,2023-01-06,33,0.014540301759679927,6.606952505650021e-06
2023-01-13,2023-01-06,34,0.002891756097756289,2.6132308272863725e-07
2023-01-13,2023-01-06,35,0.010548918047686836,3.477524997852477e-06
2023-01-13,2023-01-06,36,0.004384101679803883,6.00641987258399e-07
2023-01-13,2023-01-06,37,0.012378330695262478,4.788269592492789e-06
2023-01-13,2023-01-06,38,0.004553353778058104,6.479137886206132e-07
2023-01-13,2023-01-06,39,0.004375194451944947,5.982037915019944e-07
2023-01-13,2023-01-06,40,0.02058613637485339,1.3243541648555457e-05
2023-01-13,2023-01-06,41,0.006956233384133123,1.5121773980775188e-06
2023-01-13,2023-01-06,42,0.010905678077050378,3.716719302215843e-06
2023-01-13,2023-01-06,43,0.014353145663933769,6.437964538807961e-06
2023-01-13,2023-01-06,44,0.05167471040610321,8.34469508163016e-05
2023-01-13,2023-01-06,45,0.011990454388293015,4.492888200702261e-06
2023-01-13,2023-01-06,46,0.013943381793631622,6.075621229895134e-06
2023-01-13,2023-01-06,47,0.007140069604125983,1.593159680179923e-06
2023-01-20,2023-01-13,0,0.03569855965474559,3.9825003227189626e-05
2023-01-20,2023-01-13,1,0.035157134072892386,3.862614404681608e-05
2023-01-20,2023-01-13,2,0.03146777055642245,3.0944707280822215e-05
2023-01-20,2023-01-13,3,0.015443274464098093,7.453035770543792e-06
2023-01-20,2023-01-13,4,0.012438134558440126,4.834649147134051e-06
2023-01-20,2023-01-13,5,0.035241978058150374,3.8812802033993954e-05
2023-01-20,2023-01-13,6,0.014076950425437058,6.192580266795034e-06
2023-01-20,2023-01-13,7,0.032469474364538266,3.2946172923042916e-05
2023-01-20,2023-01-13,8,0.025055108742901854,1.9617648473246874e-05
2023-01-20,2023-01-13,9,0.013937960697418074,6.070897734411496e-06
2023-01-20,2023-01-13,10,0.0037089415143462244,4.29887133557294e-07
2023-01-20,2023-01-13,11,0.013535130787935465,5.725050310045887e-06
2023-01-20,2023-01-13,12,0.044077559017281435,6.071408941132894e-05
2023-01-20,2023-01-13,13,0.009630288475945199,2.898231194370382e-06
2023-01-20,2023-01-13,14,0.020771564021003188,1.3483194023500289e-05
2023-01-20,2023-01-13,15,0.014997430621310212,7.02891171322495e-06
2023-01-20,2023-01-13,16,0.025330601688392552,2.0051434598822304e-05
2023-01-20,2023-01-13,17,0.008344836067163661,2.1761560765609644e-06
2023-01-20,2023-01-13,18,0.017646583699993012,9.731408977864398e-06
2023-01-20,2023-01-13,19,0.030452283254499213,2.897971511561792e-05
2023-01-20,2023-01-13,20,0.008511218767410305,2.2637994478991175e-06
2023-01-20,2023-01-13,21,0.027709084680849663,2.3993781749775955e-05
2023-01-20,2023-01-13,22,0.017022869130137445,9.05565662856489e-06
2023-01-20,2023-01-13,23,0.023022370609166225,1.6563589534390744e-05
2023-01-20,2023-01-13,24,0.025036938196659458,1.958920730460445e-05
2023-01-20,2023-01-13,25,0.0026296712741476795,2.1610134259830716e-07
2023-01-20,2023-01-13,26,0.022481992806409,1.5795159152731664e-05
2023-01-20,2023-01-13,27,0.03159506316277136,3.119556437702897e-05
2023-01-20,2023-01-13,28,0.018359393706811177,1.0533461483719364e-05
2023-01-20,2023-01-13,29,0.01594506882257354,7.945243123752554e-06
2023-01-20,2023-01-13,30,0.03592098503298399,4.032281841714891e-05
2023-01-20,2023-01-13,31,0.027177796068878525,2.3082501151905355e-05
2023-01-20,2023-01-13,32,0.005440539658376874,9.249928707433241e-07
2023-01-20,2023-01-13,33,0.039450151935308986,4.863530977150532e-05
2023-01-20,2023-01-13,34,0.04128500895626947,5.326465652533141e-05
2023-01-20,2023-01-13,35,0.012383390689779044,4.792185006041727e-06
2023-01-20,2023-01-13,36,0.015319666756741847,7.3342059778713775e-06
2023-01-20,2023-01-13,37,0.02667663556531206,2.223906488396654e-05
2023-01-20,2023-01-13,38,0.009625836392886023,2.8955518980300354e-06
2023-01-20,2023-01-13,39,0.0052425905493005244,8.589072593156999e-07
2023-01-20,2023-01-13,40,0.01218723090415326,4.641566174301559e-06
2023-01-20,2023-01-13,41,0.008806720773656771,2.423722582745036e-06
2023-01-20,2023-01-13,42,0.02575585978682283,2.0730345540176387e-05
2023-01-20,2023-01-13,43,0.024500053269424293,1.8758083606962295e-05
2023-01-20,2023-01-13,44,0.027555965642898406,2.372934323413567e-05
2023-01-20,2023-01-13,45,0.019172326630390195,1.1486930893811476e-05
2023-01-20,2023-01-13,46,0.011636248777741935,4.231364687634631e-06
2023-01-20,2023-01-13,47,0.019186062743556307,1.1503398607781712e-05
2023-01-27,2023-01-20,0,0.027757452541466457,2.40776252039554e-05
2023-01-27,2023-01-20,1,0.02017257141870105,1.271677304715002e-05
2023-01-27,2023-01-20,2,0.013263028480001049,5.497178136693037e-06
2023-01-27,2023-01-20,3,0.011293285695255563,3.985612816115314e-06
2023-01-27,2023-01-20,4,0.022788717012051155,1.6229091057584633e-05
2023-01-27,2023-01-20,5,0.03721713838818857,4.3285296880690716e-05
2023-01-27,2023-01-20,6,0.018015755546069687,1.0142835801141281e-05
2023-01-27,2023-01-20,7,0.009507721851127944,2.8249279433456564e-06
2023-01-27,2023-01-20,8,0.013814289777367665,5.96364162530616e-06
2023-01-27,2023-01-20,9,0.015297935331655277,7.313412485610016e-06
2023-01-27,2023-01-20,10,0.009137026973660086,2.6089409547180864e-06
2023-01-27,2023-01-20,11,0.013028268501029686,5.30429649214792e-06
2023-01-27,2023-01-20,12,0.015191528240453025,7.2120266503272745e-06
