date,prev_date,frob,frob_norm,prev_frob,curr_frob
2023-01-13,2023-01-06,0.11249070229312867,0.004059179013787465,27.712673402931262,27.712672775072388
2023-01-20,2023-01-13,0.16154652536292063,0.005829337598509308,27.7126727750724,27.712672819740103
2023-01-27,2023-01-20,0.148177987821675,0.0053469396036069285,27.712672819740103,27.712672942290563
2023-02-03,2023-01-27,0.1490863318957585,0.005379716789001681,27.71267294229056,27.71267253033046
2023-02-10,2023-02-03,0.19410707482901302,0.007004271227055536,27.712672530330465,27.71267296586402
2023-02-17,2023-02-10,0.1479825187992358,0.005339886158997103,27.712672965864016,27.712673082482844
2023-02-24,2023-02-17,0.060751870949621305,0.0021922053772582602,27.712673082482834,27.7126727337915
2023-03-03,2023-02-24,0.09826195412107577,0.0035457407903228453,27.7126727337915,27.712673156536304
2023-03-10,2023-03-03,0.07810285204480667,0.0028183081294119966,27.712673156536297,27.71267310853755
2023-03-17,2023-03-10,0.09303188130655798,0.00335701579353938,27.71267310853755,27.71267300799967
2023-03-24,2023-03-17,0.17272822966268872,0.006232824585806718,27.712673007999662,27.71267343055937
2023-03-31,2023-03-24,0.07853335924299175,0.0028338427701597524,27.712673430559363,27.712673184741952
2023-04-07,2023-03-31,0.12353083254381901,0.004457557440248246,27.71267318474196,27.712672897272157
2023-04-14,2023-04-07,0.1191159643041541,0.004298248846139802,27.712672897272157,27.71267264087711
2023-04-21,2023-04-14,0.18052665758458425,0.006514227621564542,27.712672640877123,27.712672437355554
2023-04-28,2023-04-21,0.10677118140664649,0.0038527926762746785,27.712672437355558,27.71267297159381
2023-05-05,2023-04-28,0.14303915245786683,0.0051615068890857405,27.712672971593815,27.71267383963541
2023-05-12,2023-05-05,0.09216997126604184,0.0033259140492684805,27.712673839635418,27.712673826016626
2023-05-19,2023-05-12,0.07962940417913023,0.002873393043163211,27.71267382601662,27.712674044172864
2023-05-26,2023-05-19,0.08420458593306457,0.0030384864989514487,27.71267404417288,27.712673712092652
2023-06-02,2023-05-26,0.12426745408094843,0.004484138029118383,27.71267371209265,27.712673672905616
2023-06-09,2023-06-02,0.08308480115463435,0.002998079583922013,27.712673672905602,27.71267342810403
2023-06-16,2023-06-09,0.11375824658880732,0.004104917805347443,27.712673428104036,27.712673602750773
2023-06-23,2023-06-16,0.08851489295634139,0.0031940221367725485,27.712673602750765,27.712673126088
2023-06-30,2023-06-23,0.08066587184806552,0.0029107936098782834,27.71267312608801,27.712673750783352
2023-07-07,2023-06-30,0.07470748482956492,0.002695787692714077,27.712673750783356,27.712673719869922
2023-07-14,2023-07-07,0.08770523537571484,0.003164805975138632,27.712673719869926,27.71267388449851
2023-07-21,2023-07-14,0.10320738116784448,0.0037241942656991802,27.712673884498503,27.71267370319929
2023-07-28,2023-07-21,0.10919410706350269,0.003940222738266243,27.71267370319928,27.71267337778173
2023-08-04,2023-07-28,0.08668543506254431,0.003128006954826671,27.71267337778173,27.712673624214652
2023-08-11,2023-08-04,0.08721045994861272,0.0031469522259449994,27.712673624214652,27.71267372654749
2023-08-18,2023-08-11,0.13466866087810828,0.0048594611334487345,27.71267372654749,27.71267360219041
2023-08-25,2023-08-18,0.11088162944154643,0.004001116277455755,27.7126736021904,27.71267397195882
2023-09-01,2023-08-25,0.091349828361914,0.0032963195270995283,27.712673971958825,27.712674157814167
2023-09-08,2023-09-01,0.1164924312610595,0.004203579582312081,27.71267415781417,27.712673858708463
2023-09-15,2023-09-08,0.0784301768956467,0.0028301194354437183,27.71267385870846,27.71267426276487
2023-09-22,2023-09-15,0.10762698614814573,0.0038836737706238263,27.712674262764853,27.71267393993337
2023-09-29,2023-09-22,0.09690868473572606,0.0034969084883605998,27.712673939933364,27.712674105077703
2023-10-06,2023-09-29,0.07898591435164663,0.002850172958847427,27.712674105077703,27.712674413511813
2023-10-13,2023-10-06,0.1092472267893668,0.003942139439854906,27.712674413511817,27.712674217387484
2023-10-20,2023-10-13,0.0901649963897304,0.0032535653427901907,27.712674217387473,27.712674165066392
2023-10-27,2023-10-20,0.10217770637640185,0.0036870388533344666,27.712674165066414,27.712674255225842
2023-11-03,2023-10-27,0.08042524664850374,0.0029021106338495964,27.71267425522584,27.7126744011703
2023-11-10,2023-11-03,0.08587050585753835,0.003098600467586375,27.7126744011703,27.71267410466156
