date,prev_date,frob_perm,frob_norm_perm
2023-01-13,2023-01-06,0.4676236917103963,0.016874001468978352
2023-01-20,2023-01-13,0.4867849455265245,0.017565427538421014
2023-01-27,2023-01-20,0.5476670413556004,0.019762332017482998
2023-02-03,2023-01-27,0.7178562716515239,0.025903537819912812
2023-02-10,2023-02-03,0.7635764907116124,0.027553332861559254
2023-02-17,2023-02-10,0.6997221455713802,0.025249175582350375
2023-02-24,2023-02-17,0.5915225270364448,0.021344838344386365
2023-03-03,2023-02-24,0.5107017273967386,0.01842845445845413
2023-03-10,2023-03-03,0.5358080061094522,0.01933440354464894
2023-03-17,2023-03-10,0.5360467839818067,0.01934301977591059
2023-03-24,2023-03-17,0.5571649074535299,0.020105058335321033
2023-03-31,2023-03-24,0.552946758942224,0.019952847938967077
2023-04-07,2023-03-31,0.56027751710333,0.02021737539963439
2023-04-14,2023-04-07,0.5491447216309946,0.01981565342565815
2023-04-21,2023-04-14,0.49310864886390177,0.017793615767557985
2023-04-28,2023-04-21,0.4211206926670374,0.015195961111977371
2023-05-05,2023-04-28,0.4177141483404154,0.01507303711802062
2023-05-12,2023-05-05,0.33763717128803494,0.01218349312815586
2023-05-19,2023-05-12,0.3358119763673859,0.01211763175490176
2023-05-26,2023-05-19,0.37903047997700473,0.013677152893034858
2023-06-02,2023-05-26,0.37359034111637357,0.013480847968607986
2023-06-09,2023-06-02,0.3377259872395579,0.012186698087154866
2023-06-16,2023-06-09,0.2811794539065361,0.010146240659025543
2023-06-23,2023-06-16,0.254465433365455,0.009182276564617986
2023-06-30,2023-06-23,0.2641068796476465,0.009530184202945527
2023-07-07,2023-06-30,0.2782912554204898,0.010042021131671328
2023-07-14,2023-07-07,0.26427246796443765,0.009536159182466229
2023-07-21,2023-07-14,0.33587894069165886,0.012120048108368411
2023-07-28,2023-07-21,0.31479729409364765,0.011359325969954846
2023-08-04,2023-07-28,0.31192821134718024,0.011255796476035883
2023-08-11,2023-08-04,0.32655717176967547,0.011783676169170703
2023-08-18,2023-08-11,0.38760154388484186,0.013986436231648162
2023-08-25,2023-08-18,0.3658356454569231,0.013201023138669464
2023-09-01,2023-08-25,0.3263487912974307,0.011776156700996672
2023-09-08,2023-09-01,0.3040934991591435,0.010973083919199728
2023-09-15,2023-09-08,0.2771575588345365,0.010001112135465494
2023-09-22,2023-09-15,0.26954189858498256,0.009726304146227173
2023-09-29,2023-09-22,0.29320307491278713,0.010580107699036478
2023-10-06,2023-09-29,0.2828139207855243,0.010205219449886832
2023-10-13,2023-10-06,0.2731113241966043,0.009855105289420716
2023-10-20,2023-10-13,0.23670173215540258,0.00854128079804304
2023-10-27,2023-10-20,0.26743704965568776,0.009650351606731606
2023-11-03,2023-10-27,0.2781598232973677,0.010037278276920695
2023-11-10,2023-11-03,0.21673007746169384,0.007820612125855799
2023-11-17,2023-11-10,0.27812546964499096,0.01003603869459128
2023-11-24,2023-11-17,0.2668045115077932,0.009627526992816113
2023-12-01,2023-11-24,0.2906970545493986,0.010489679073524032
2023-12-08,2023-12-01,0.2139462696570115,0.007720159933974162
2023-12-15,2023-12-08,0.18831944010252177,0.006795426624347544
2023-12-22,2023-12-15,0.2002033473255412,0.007224252370928449
2023-12-29,2023-12-22,0.19364095199035242,0.006987451048034599
2024-01-05,2023-12-29,0.16745103639675074,0.006042399176428358
2024-01-12,2024-01-05,0.160345666696059,0.005786004923492121
2024-01-19,2024-01-12,0.1664545680317278,0.006006442119090589
2024-01-26,2024-01-19,0.18846180809985294,0.006800563796646251
2024-02-02,2024-01-26,0.21987489714405606,0.00793409167444719
2024-02-09,2024-02-02,0.24851680459628944,0.008967622801451107
2024-02-16,2024-02-09,0.279668013434408,0.010091700919224188
2024-02-23,2024-02-16,0.2524736396558676,0.00911040358093505
2024-03-01,2024-02-23,0.20274694040648228,0.007316036757428101
2024-03-08,2024-03-01,0.1925386689172192,0.006947675640878159
2024-03-15,2024-03-08,0.18272510350748822,0.00659355742318514
2024-03-22,2024-03-15,0.1535212512276507,0.0055397487451865806
2024-03-29,2024-03-22,0.14752720362043134,0.005323456165296861
2024-04-05,2024-03-29,0.1565272881192508,0.005648220293410409
2024-04-12,2024-04-05,0.1881510547569968,0.00678935043222506
2024-04-19,2024-04-12,0.16603563607248933,0.005991324984687317
2024-04-26,2024-04-19,0.17677184069829108,0.006378736327413384
2024-05-03,2024-04-26,0.19180354157060137,0.006921148694768103
2024-05-10,2024-05-03,0.1995131393020907,0.007199346267686617
2024-05-17,2024-05-10,0.20184589645865303,0.0072835228783540715
