date,prev_date,asset_idx,l2,cos
2023-01-13,2023-01-06,0,0.04203755878695736,5.5224197295422606e-05
2023-01-13,2023-01-06,1,0.04996438384559772,7.801452703282141e-05
2023-01-13,2023-01-06,2,0.051455161165349504,8.273938550373838e-05
2023-01-13,2023-01-06,3,0.05859792517099059,0.00010730472308673189
2023-01-13,2023-01-06,4,0.053906247547948184,9.080978202669066e-05
2023-01-13,2023-01-06,5,0.0677741234304896,0.00014354307692066026
2023-01-13,2023-01-06,6,0.07059858744985008,0.00015575660597477725
2023-01-13,2023-01-06,7,0.06929926002172324,0.00015007613895001715
2023-01-13,2023-01-06,8,0.03437934647422017,3.6935977800522934e-05
2023-01-13,2023-01-06,9,0.04664527924190923,6.799387888867248e-05
2023-01-13,2023-01-06,10,0.047667895470856494,7.100784789848547e-05
2023-01-13,2023-01-06,11,0.03907568136401938,4.7716381966766974e-05
2023-01-13,2023-01-06,12,0.032913840816002536,3.385411989276221e-05
2023-01-13,2023-01-06,13,0.038782832511843134,4.70038510910209e-05
2023-01-13,2023-01-06,14,0.05492919721398185,9.428896627594607e-05
2023-01-13,2023-01-06,15,0.051968971863083135,8.440003874243818e-05
2023-01-13,2023-01-06,16,0.053151607896744925,8.828505650670948e-05
2023-01-13,2023-01-06,17,0.058996823088500634,0.0001087706264800703
2023-01-13,2023-01-06,18,0.04353674086131647,5.923333936708186e-05
2023-01-13,2023-01-06,19,0.07159306718986885,0.00016017561388570467
2023-01-13,2023-01-06,20,0.033087662311939214,3.421264030656346e-05
2023-01-13,2023-01-06,21,0.036599780389727034,4.186116633331238e-05
2023-01-13,2023-01-06,22,0.0523653352495566,8.56923723372427e-05
2023-01-13,2023-01-06,23,0.031828860329213636,3.165895635470761e-05
2023-01-13,2023-01-06,24,0.02858374084847833,2.553245404546267e-05
2023-01-13,2023-01-06,25,0.0534666374742458,8.933469327487842e-05
2023-01-13,2023-01-06,26,0.06133645357792262,0.00011756872434298682
2023-01-13,2023-01-06,27,0.04198635992583044,5.5089755661485995e-05
2023-01-13,2023-01-06,28,0.04966781565906812,7.709115821685764e-05
2023-01-13,2023-01-06,29,0.055368670125592566,9.580376933460144e-05
2023-01-13,2023-01-06,30,0.046822767091265934,6.851229994409014e-05
2023-01-13,2023-01-06,31,0.04070266268812879,5.1772605896283075e-05
2023-01-13,2023-01-06,32,0.04733462727531832,7.001842149667592e-05
2023-01-13,2023-01-06,33,0.028826696523998295,2.596833437262802e-05
2023-01-13,2023-01-06,34,0.041322989150076234,5.3362702404080586e-05
2023-01-13,2023-01-06,35,0.05518296831700533,9.516221275251979e-05
2023-01-13,2023-01-06,36,0.05455881246521536,9.302169116309766e-05
2023-01-13,2023-01-06,37,0.0642145756930084,0.00012886104871467907
2023-01-13,2023-01-06,38,0.03889604009039403,4.7278661246541454e-05
2023-01-13,2023-01-06,39,0.04699853372690186,6.90276383347177e-05
2023-01-13,2023-01-06,40,0.030901532952302226,2.9841077333614408e-05
2023-01-13,2023-01-06,41,0.044256499020400616,6.120805050235933e-05
2023-01-13,2023-01-06,42,0.0626929530589659,0.00012282643957806094
2023-01-13,2023-01-06,43,0.04006188845519947,5.015534552688106e-05
2023-01-13,2023-01-06,44,0.048105916080795286,7.231882275360313e-05
2023-01-13,2023-01-06,45,0.044265036563973445,6.123165224036775e-05
2023-01-13,2023-01-06,46,0.06394965964605889,0.0001278000203673857
2023-01-13,2023-01-06,47,0.039201554101779695,4.802429176264944e-05
2023-01-20,2023-01-13,0,0.0627142368986762,0.00012290985774177088
2023-01-20,2023-01-13,1,0.02712616006012091,2.2994875677806448e-05
2023-01-20,2023-01-13,2,0.07653533618877575,0.0001830536600568866
2023-01-20,2023-01-13,3,0.06322613064297035,0.0001249245032313162
2023-01-20,2023-01-13,4,0.05662497076337392,0.00010020062657711826
2023-01-20,2023-01-13,5,0.06722490182658082,0.00014122604502708747
2023-01-20,2023-01-13,6,0.0710260170097785,0.0001576483392545791
2023-01-20,2023-01-13,7,0.07362379982648361,0.00016939122676384866
2023-01-20,2023-01-13,8,0.04488702455833698,6.296453487453224e-05
2023-01-20,2023-01-13,9,0.030455608510979122,2.898604786472081e-05
2023-01-20,2023-01-13,10,0.03898047266403256,4.7484144749310175e-05
2023-01-20,2023-01-13,11,0.03906582302202285,4.7692308721591914e-05
2023-01-20,2023-01-13,12,0.06396361475656068,0.00012785579361151989
2023-01-20,2023-01-13,13,0.038722650227628316,4.6858088835977085e-05
