date,E,mu_t,sigma_t,raw_mean,raw_mean_abs,raw_neg_frac,norm_mean,norm_mean_abs,norm_neg_frac,norm_min,norm_max
2023-01-06,530,0.38123210098511673,0.24128020113846152,0.632623016834259,0.6395999789237976,0.011320754716981131,1.0419044494628906,1.1199508905410767,0.03018867924528302,-2.930104970932007,2.3623852729797363
2023-01-13,530,0.380685472337391,0.23288041235158516,0.6322065591812134,0.6384177803993225,0.007547169811320755,1.0830752849578857,1.144311785697937,0.03773584905660377,-3.0,2.4509084224700928
2023-01-20,524,0.3743303099933899,0.23797658981326747,0.6340733766555786,0.6397311091423035,0.007633587786259542,1.0930618047714233,1.1534985303878784,0.04198473282442748,-3.0,2.4681129455566406
2023-01-27,524,0.3741207564814405,0.2350914023768618,0.6334968209266663,0.6391624212265015,0.007633587786259542,1.1050225496292114,1.1648132801055908,0.04580152671755725,-3.0,2.501627206802368
2023-02-03,518,0.3652858648952667,0.2364814229655391,0.6320279240608215,0.6354871988296509,0.003861003861003861,1.1296570301055908,1.1612160205841064,0.023166023166023165,-3.0,2.452347755432129
2023-02-10,526,0.35960917093496747,0.23870914374675006,0.6246434450149536,0.6336154341697693,0.011406844106463879,1.1130660772323608,1.1852017641067505,0.030418250950570342,-3.0,2.4528703689575195
2023-02-17,522,0.3416656847875176,0.24025360236386933,0.6083330512046814,0.6179554462432861,0.011494252873563218,1.1136448383331299,1.1829530000686646,0.02681992337164751,-3.0,2.498941659927368
2023-02-24,522,0.3146655128150195,0.24579664130944823,0.586879312992096,0.5999817848205566,0.01532567049808429,1.110209584236145,1.1999390125274658,0.022988505747126436,-3.0,2.548377513885498
2023-03-03,522,0.31514893449768633,0.2457754886843286,0.5855205059051514,0.6008015275001526,0.019157088122605363,1.1030266284942627,1.2101807594299316,0.02681992337164751,-3.0,2.542354106903076
2023-03-10,508,0.2885955360521581,0.2511600332484364,0.5683916807174683,0.5888729691505432,0.023622047244094488,1.116822361946106,1.2470412254333496,0.023622047244094488,-3.0,2.560703754425049
