date,E_sym,min_deg,max_deg,mean_deg
2023-01-06,530,8,20,11.041666666666666
2023-01-13,530,8,20,11.041666666666666
2023-01-20,524,8,22,10.916666666666666
2023-01-27,524,8,20,10.916666666666666
2023-02-03,518,8,22,10.791666666666666
2023-02-10,526,8,22,10.958333333333334
2023-02-17,522,8,22,10.875
2023-02-24,522,8,23,10.875
2023-03-03,522,8,24,10.875
2023-03-10,508,8,23,10.583333333333334
