date,full_mean,full_mean_abs,full_neg_frac,full_min,full_max
2023-01-06,0.38123210098511673,0.39713205960697845,0.07092198581560284,-0.3299970446880718,0.9512288949694632
2023-01-13,0.380685472337391,0.39497313727079597,0.0673758865248227,-0.5019540265309167,0.9514540489368367
2023-01-20,0.3743303099933899,0.3895975181653711,0.0700354609929078,-0.43917571544879985,0.9616834240458977
2023-01-27,0.3741207564814405,0.3894307792010236,0.06826241134751773,-0.43732794577499534,0.9622318012875691
2023-02-03,0.3652858648952667,0.3810498003241382,0.07092198581560284,-0.44797256046654216,0.9452205666719061
2023-02-10,0.35960917093496747,0.3771788576150746,0.07801418439716312,-0.5260265588073979,0.9451317601723077
2023-02-17,0.3416656847875176,0.36322987965897346,0.08953900709219859,-0.5581560186431938,0.9420454051777433
2023-02-24,0.3146655128150195,0.34322125969584855,0.10815602836879433,-0.5739201321277254,0.9410481355210978
2023-03-03,0.31514893449768633,0.3440181782395394,0.1099290780141844,-0.5833300868507159,0.9399972822632743
2023-03-10,0.2885955360521581,0.3273359315932371,0.13386524822695037,-0.6248952816238411,0.9317420035047648
