date,E,min_deg,max_deg,mean_deg,raw_mean,raw_mean_abs,raw_neg_frac,mu_t,sigma_t,z_mean,z_mean_abs,z_neg_frac,z_min,z_max
2023-01-06,530,8,20,11.041666666666666,0.632623016834259,0.6395999789237976,0.011320754716981131,0.38123210098511673,0.24128020113846152,1.0419044494628906,1.1199508905410767,0.03018867924528302,-2.930104970932007,2.3623852729797363
2023-01-13,530,8,20,11.041666666666666,0.6322065591812134,0.6384177803993225,0.007547169811320755,0.380685472337391,0.23288041235158516,1.0830752849578857,1.144311785697937,0.03773584905660377,-3.0,2.4509084224700928
2023-01-20,524,8,22,10.916666666666666,0.6340733766555786,0.6397311091423035,0.007633587786259542,0.3743303099933899,0.23797658981326747,1.0930618047714233,1.1534985303878784,0.04198473282442748,-3.0,2.4681129455566406
2023-01-27,524,8,20,10.916666666666666,0.6334968209266663,0.6391624212265015,0.007633587786259542,0.3741207564814405,0.2350914023768618,1.1050225496292114,1.1648132801055908,0.04580152671755725,-3.0,2.501627206802368
2023-02-03,518,8,22,10.791666666666666,0.6320279240608215,0.6354871988296509,0.003861003861003861,0.3652858648952667,0.2364814229655391,1.1296570301055908,1.1612160205841064,0.023166023166023165,-3.0,2.452347755432129
2023-02-10,526,8,22,10.958333333333334,0.6246434450149536,0.6336154341697693,0.011406844106463879,0.35960917093496747,0.23870914374675006,1.1130660772323608,1.1852017641067505,0.030418250950570342,-3.0,2.4528703689575195
2023-02-17,522,8,22,10.875,0.6083330512046814,0.6179554462432861,0.011494252873563218,0.3416656847875176,0.24025360236386933,1.1136448383331299,1.1829530000686646,0.02681992337164751,-3.0,2.498941659927368
2023-02-24,522,8,23,10.875,0.586879312992096,0.5999817848205566,0.01532567049808429,0.3146655128150195,0.24579664130944823,1.110209584236145,1.1999390125274658,0.022988505747126436,-3.0,2.548377513885498
2023-03-03,522,8,24,10.875,0.5855205059051514,0.6008015275001526,0.019157088122605363,0.31514893449768633,0.2457754886843286,1.1030266284942627,1.2101807594299316,0.02681992337164751,-3.0,2.542354106903076
2023-03-10,508,8,23,10.583333333333334,0.5683916807174683,0.5888729691505432,0.023622047244094488,0.2885955360521581,0.2511600332484364,1.116822361946106,1.2470412254333496,0.023622047244094488,-3.0,2.560703754425049
2023-03-17,500,8,19,10.416666666666666,0.5489580631256104,0.5762553811073303,0.032,0.26938205010996225,0.2514439478018318,1.1164922714233398,1.2843997478485107,0.032,-3.0,2.6355605125427246
2023-03-24,504,8,19,10.5,0.5460070967674255,0.5744639039039612,0.031746031746031744,0.24425045692942904,0.2633312383394555,1.1497480869293213,1.3090488910675049,0.031746031746031744,-3.0,2.5951192378997803
2023-03-31,498,8,19,10.375,0.5500448942184448,0.57425856590271,0.028112449799196786,0.25058281035230073,0.2578913930610479,1.1620105504989624,1.3089007139205933,0.028112449799196786,-3.0,2.6089842319488525
2023-04-07,510,8,19,10.625,0.562373697757721,0.5790531039237976,0.0196078431372549,0.268094840204151,0.2519885639023552,1.1691055297851562,1.2744603157043457,0.0196078431372549,-3.0,2.6013026237487793
2023-04-14,506,8,18,10.541666666666666,0.5476988554000854,0.5681414008140564,0.023715415019762844,0.23568360198173668,0.2626208485050405,1.1883436441421509,1.3082278966903687,0.023715415019762844,-3.0,2.6029462814331055
2023-04-21,504,8,17,10.5,0.5474026799201965,0.5660474300384521,0.01984126984126984,0.2307708766905453,0.2625581136351345,1.2064744234085083,1.3113144636154175,0.01984126984126984,-3.0,2.4972853660583496
2023-04-28,520,8,20,10.833333333333334,0.5474083423614502,0.5696125030517578,0.023076923076923078,0.24436800488812707,0.2618640882087441,1.1580946445465088,1.2842535972595215,0.023076923076923078,-3.0,2.4632184505462646
2023-05-05,504,8,19,10.5,0.504842221736908,0.5343325734138489,0.031746031746031744,0.21536221391906818,0.24610249786367494,1.1774532794952393,1.35045325756073,0.031746031746031744,-3.0,2.649507999420166
2023-05-12,512,8,19,10.666666666666666,0.5063345432281494,0.5310255289077759,0.02734375,0.2156904817349466,0.24519467627579206,1.1857006549835205,1.3338265419006348,0.02734375,-3.0,2.6767351627349854
2023-05-19,522,8,22,10.875,0.49124595522880554,0.5216463804244995,0.034482758620689655,0.20673746279957564,0.2460764292672087,1.1566225290298462,1.337217092514038,0.034482758620689655,-3.0,2.7085554599761963
2023-05-26,514,8,20,10.708333333333334,0.48353320360183716,0.5293039083480835,0.05058365758754864,0.20435145703879143,0.25360040503900705,1.1013551950454712,1.3623946905136108,0.05058365758754864,-3.0,2.646679639816284
2023-06-02,506,8,18,10.541666666666666,0.4513084292411804,0.531974196434021,0.08300395256916997,0.18085595382197595,0.2673434524963847,1.0124930143356323,1.4247993230819702,0.08300395256916997,-3.0,2.5656917095184326
2023-06-09,504,8,18,10.5,0.4379327595233917,0.5278910994529724,0.09523809523809523,0.17374144179610382,0.2692883098798855,0.982463002204895,1.4366341829299927,0.09523809523809523,-3.0,2.562358856201172
2023-06-16,500,8,19,10.416666666666666,0.4246709644794464,0.5223696231842041,0.108,0.17619148015298183,0.2638512421134957,0.9431518912315369,1.454846978187561,0.108,-3.0,2.6286869049072266
2023-06-23,498,8,18,10.375,0.4245932996273041,0.5183200240135193,0.10843373493975904,0.17722239315725077,0.26225524739839334,0.9444090127944946,1.4460192918777466,0.10843373493975904,-3.0,2.6332802772521973
2023-06-30,480,8,19,10.0,0.4503066837787628,0.5321378707885742,0.0875,0.1838487164632198,0.2656376182473334,1.003986120223999,1.4313639402389526,0.0875,-3.0,2.5891001224517822
2023-07-07,488,8,18,10.166666666666666,0.4434257745742798,0.5255232453346252,0.09016393442622951,0.185373147602592,0.2620606064207484,0.9852511882781982,1.4249955415725708,0.09016393442622951,-3.0,2.6530230045318604
2023-07-14,494,8,18,10.291666666666666,0.47286099195480347,0.5323294997215271,0.06882591093117409,0.19893096375618627,0.25826043769939555,1.060673475265503,1.3969684839248657,0.06882591093117409,-2.8248848915100098,2.6737732887268066
2023-07-21,506,8,19,10.541666666666666,0.4994751513004303,0.537830114364624,0.043478260869565216,0.21568590286047506,0.25370178286515255,1.118593692779541,1.343701720237732,0.043478260869565216,-2.8361027240753174,2.69805908203125
2023-07-28,492,8,20,10.25,0.5110930800437927,0.5452077984809875,0.036585365853658534,0.2170336494690816,0.25722771058307503,1.1431872844696045,1.3375492095947266,0.036585365853658534,-2.875002861022949,2.7000443935394287
2023-08-04,496,8,21,10.333333333333334,0.5118501782417297,0.54061359167099,0.03225806451612903,0.22030439940721439,0.2501480681014448,1.166489601135254,1.3363007307052612,0.03225806451612903,-3.0,2.853904962539673
2023-08-11,492,8,21,10.25,0.5367259383201599,0.5514996647834778,0.016260162601626018,0.2383411627109251,0.24602850658657055,1.2137176990509033,1.303446650505066,0.016260162601626018,-3.0,2.7506344318389893
2023-08-18,486,8,19,10.125,0.503315806388855,0.5381041765213013,0.0411522633744856,0.21026337632665965,0.25386081886386297,1.1547259092330933,1.3592454195022583,0.0411522633744856,-3.0,2.7934463024139404
2023-08-25,486,8,19,10.125,0.5152310132980347,0.5435037016868591,0.03292181069958848,0.2294050495037376,0.24906254385593063,1.148524522781372,1.3208531141281128,0.03292181069958848,-3.0,2.766242265701294
2023-09-01,474,8,18,9.875,0.4777528643608093,0.5273330211639404,0.05907172995780591,0.18971875467314644,0.25986931801017316,1.108380675315857,1.385420560836792,0.05907172995780591,-2.9047605991363525,2.7854979038238525
2023-09-08,488,8,19,10.166666666666666,0.4554322063922882,0.5158740878105164,0.07377049180327869,0.2066423866700164,0.2493023231492821,0.9981627464294434,1.3624639511108398,0.07377049180327869,-3.0,2.8007493019104004
2023-09-15,504,8,19,10.5,0.44960838556289673,0.5155866146087646,0.07936507936507936,0.20534996856200025,0.25296251951540893,0.9655914306640625,1.3552672863006592,0.07936507936507936,-2.9585421085357666,2.7546417713165283
2023-09-22,478,8,14,9.958333333333334,0.40040725469589233,0.49643027782440186,0.11715481171548117,0.16227885646022994,0.25465664734640553,0.9350959062576294,1.4614771604537964,0.11715481171548117,-2.783499002456665,2.860394239425659
2023-09-29,490,8,18,10.208333333333334,0.44048410654067993,0.5025020241737366,0.08163265306122448,0.19246635448483115,0.24463648126290968,1.0141164064407349,1.395485758781433,0.08163265306122448,-3.0,2.8467295169830322
2023-10-06,496,8,16,10.333333333333334,0.44392260909080505,0.5040422677993774,0.08064516129032258,0.19932573332582582,0.24442509321084915,1.0007028579711914,1.3781967163085938,0.08064516129032258,-2.879577875137329,2.8456902503967285
2023-10-13,492,8,18,10.25,0.4604405462741852,0.5122671723365784,0.06504065040650407,0.20222216392663767,0.24922375292557405,1.036090612411499,1.349591851234436,0.06504065040650407,-2.7947189807891846,2.827658176422119
2023-10-20,488,8,20,10.166666666666666,0.4737728536128998,0.5217642784118652,0.06147540983606557,0.20822513305455473,0.2529790371273674,1.0496826171875,1.3405877351760864,0.06147540983606557,-2.7844486236572266,2.8065712451934814
2023-10-27,496,8,19,10.333333333333334,0.4973970949649811,0.5289480090141296,0.04032258064516129,0.23195759710171635,0.24674446727823293,1.075766682624817,1.2794477939605713,0.04032258064516129,-2.9354522228240967,2.6818203926086426
2023-11-03,506,8,21,10.541666666666666,0.49189990758895874,0.5209112167358398,0.039525691699604744,0.23455765896971864,0.24095465841805885,1.0680476427078247,1.2653287649154663,0.039525691699604744,-3.0,2.6388604640960693
2023-11-10,512,8,21,10.666666666666666,0.5346609950065613,0.5502640008926392,0.01953125,0.2844547621326135,0.2337282148720058,1.0717041492462158,1.1841644048690796,0.0234375,-3.0,2.5266854763031006
2023-11-17,508,8,22,10.583333333333334,0.5367519855499268,0.5524468421936035,0.01968503937007874,0.2956223905785824,0.22812279663120863,1.0593491792678833,1.1751670837402344,0.027559055118110236,-3.0,2.4881882667541504
2023-11-24,510,8,21,10.625,0.5311285853385925,0.5470610857009888,0.0196078431372549,0.28999708478551267,0.23028882625173988,1.049401044845581,1.1633331775665283,0.0196078431372549,-3.0,2.6297929286956787
2023-12-01,508,8,22,10.583333333333334,0.5340928435325623,0.5498793125152588,0.01968503937007874,0.2915108406730422,0.22993646041788354,1.0572494268417358,1.171310544013977,0.01968503937007874,-3.0,2.603966236114502
2023-12-08,508,8,23,10.583333333333334,0.5356131792068481,0.5457368493080139,0.011811023622047244,0.2836840979974327,0.22624915395698084,1.1165173053741455,1.1848527193069458,0.011811023622047244,-3.0,2.7033557891845703
2023-12-15,506,8,21,10.541666666666666,0.5276663303375244,0.5410549640655518,0.015810276679841896,0.2767366295267157,0.22579325286994387,1.1140532493591309,1.2066476345062256,0.015810276679841896,-3.0,2.670698642730713
2023-12-22,504,8,20,10.5,0.5175702571868896,0.5330958962440491,0.01984126984126984,0.2665327522329637,0.22769166688168285,1.1031785011291504,1.2165255546569824,0.01984126984126984,-3.0,2.6478161811828613
2023-12-29,506,8,22,10.541666666666666,0.5049911737442017,0.5263094305992126,0.03162055335968379,0.25822931000456734,0.23082381188135884,1.0690488815307617,1.2333388328552246,0.043478260869565216,-2.8651559352874756,2.639559268951416
2024-01-05,512,8,21,10.666666666666666,0.4876042306423187,0.5208314657211304,0.046875,0.24635441240132117,0.2328516180468505,1.0360667705535889,1.2779505252838135,0.046875,-2.9369664192199707,2.639090061187744
2024-01-12,522,8,22,10.875,0.49102115631103516,0.5221495628356934,0.04597701149425287,0.24741048327807594,0.2369548630059559,1.0280890464782715,1.2554690837860107,0.04597701149425287,-2.8771321773529053,2.557276487350464
2024-01-19,522,8,20,10.875,0.4997020661830902,0.5280079245567322,0.038314176245210725,0.24469164202144517,0.23953539997614026,1.0646042823791504,1.2610520124435425,0.038314176245210725,-2.8523097038269043,2.5548064708709717
