date,mom4_mean,vol24_mean,mom4_min,mom4_max,vol24_min,vol24_max
2023-01-06,-0.03480504649875271,0.32594975224105677,-0.36785384419919753,0.07598311431039018,0.15743400682952202,0.6475853205286257
2023-01-13,0.016871701151159404,0.32864273900933755,-0.36855629359631115,0.18636519976104715,0.15091236846884626,0.6589059165395378
2023-01-20,0.06441712264902448,0.3279136289762891,-0.18524925110251178,0.3481966880495855,0.16108092182794345,0.6593906207839216
2023-01-27,0.05764560705659557,0.32726818227304116,-0.08392473020744096,0.39941624020536537,0.16355342824416347,0.6552339193599689
2023-02-03,0.08215051957111794,0.3279902281661976,-0.08625340307426932,0.4442279059566572,0.155061153138976,0.7945800833892839
2023-02-10,0.05466787756990902,0.3312243655978669,-0.11990222998103339,0.6803467170524327,0.15451076417529505,0.8041345953246294
2023-02-17,0.021180490790406487,0.32948428583373274,-0.11417822731136229,0.6085784063329458,0.15220136603391543,0.8068969441407401
2023-02-24,0.02626061679176306,0.3242075856394732,-0.1656098960964032,0.5613101515322891,0.1516553338159634,0.8087291068747434
2023-03-03,-0.019659171294103196,0.32490351223393116,-0.24818380543217455,0.14343228411182452,0.15427654573616037,0.7922956881261216
2023-03-10,0.0027685206155707,0.3181155346362163,-0.15639994617624275,0.15545997184320326,0.1536845934761126,0.791851604733707
