date,mean_abs_corr,offdiag_mean_abs,min_corr,max_corr
2023-01-06,0.4096918083651664,0.39713205960697845,-0.3299970446880718,1.0
2023-01-13,0.40757786357765435,0.39497313727079597,-0.5019540265309167,1.0
2023-01-20,0.4023142365369259,0.3895975181653711,-0.43917571544879985,1.0
2023-01-27,0.4021509713010023,0.3894307792010236,-0.43732794577499534,1.0
2023-02-03,0.39394459615071864,0.3810498003241382,-0.44797256046654216,1.0
2023-02-10,0.3901542980814272,0.3771788576150746,-0.5260265588073979,1.0
2023-02-17,0.3764959238327448,0.36322987965897346,-0.5581560186431938,1.0
2023-02-24,0.3569041501188517,0.34322125969584855,-0.5739201321277254,1.0
2023-03-03,0.35768446619288236,0.3440181782395394,-0.5833300868507159,1.0
2023-03-10,0.3413497663517113,0.3273359315932371,-0.6248952816238411,1.0
